Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.10603284866615326,0.10603284866615326,left,0.4833696000277996,0,0.0
2,0.1488652847966882,0.13695606201295316,left,0.33619800000451505,1,-0.08
3,0.16572320377841987,0.17898106008069348,right,0.3889130000025034,1,0.08
4,0.06025100948708936,0.07471125176399081,right,0.5918056999798864,1,0.24
5,0.08598308597228199,0.0997403797278471,left,0.4747118999948725,0,0.16
6,0.18521142644609156,0.2148452546774662,right,0.44883950002258644,1,0.16
7,0.13234727355085532,0.14293505543492377,right,0.4221567999920808,1,0.08
8,0.19736792613822907,0.2131573602292874,left,0.4663913000258617,0,0.08
9,0.15489253236042272,0.10532692200508743,left,0.35040850000223145,1,-0.32
10,0.09960691526348225,0.09163836204240368,left,0.3558630999759771,1,-0.08
11,0.10440018769309585,0.13780824775488654,right,0.3257926999940537,1,0.32
12,0.19146432404453684,0.19146432404453684,left,0.47642520000226796,0,0.0
13,0.08513585016119932,0.05789237810961553,left,0.42769429995678365,1,-0.32
14,0.1871561857205849,0.1272662062899977,left,0.33915140002500266,1,-0.32
15,0.10533613686869102,0.10533613686869102,left,0.38161569996736944,0,0.0
16,0.13040151146853285,0.1095372696335676,left,0.3092715000384487,1,-0.16
17,0.1335264384992353,0.10148009325941883,left,0.3685708999983035,1,-0.24
18,0.11890297779851447,0.09987850135075214,left,0.4090959000168368,1,-0.16
19,0.11983394559793985,0.1390073768936102,right,0.33545029995730147,1,0.16
20,0.12828318552383927,0.11802053068193213,left,0.35045170004013926,1,-0.08
21,0.1241898514355837,0.1639306038949705,right,0.37287090002791956,1,0.32
22,0.11685913573233465,0.07946421229798756,left,0.44966360001126304,1,-0.32
23,0.17945273274381895,0.2225213886023355,right,0.3897807999746874,1,0.24
24,0.13727982896138607,0.10433267001065341,left,0.46785359998466447,1,-0.24
25,0.11677408323146053,0.08874830325591,left,0.334656500024721,1,-0.24
26,0.08303530962179845,0.10296378393103008,right,0.4863835000433028,1,0.24
27,0.09213299496258778,0.11424491375360885,right,0.4374788000131957,1,0.24
28,0.14483407168438556,0.12166062021488386,left,0.4525306999566965,1,-0.16
29,0.1516535248167878,0.1637858068021308,right,0.522457100043539,1,0.08
30,0.1673166721469529,0.19408733969046535,right,0.4093585000373423,1,0.16
31,0.19967601972674692,0.18370193814860716,left,0.33720000000903383,1,-0.08
32,0.1951723192052438,0.25762746135092185,right,0.3494308000081219,1,0.32
33,0.09122870591544312,0.06933381649573676,left,0.3961145000066608,1,-0.24
34,0.12821777178686888,0.16924745875866692,right,0.42685280001023784,1,0.32
35,0.08293755491423593,0.08293755491423593,left,0.3853683000197634,0,0.0
36,0.15506182456084017,0.13025193263110574,left,0.3372050999896601,1,-0.16
