Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.14678986578448883,0.15853305504724793,no_response,2.0,0,0.08
2,0.08758506642586408,0.0665646504836567,left,0.5162709000287578,1,-0.24
3,0.05892500304202296,0.06835300352874663,right,0.4528737999498844,1,0.16
4,0.1144250619783243,0.12357906693659025,right,0.5272047000471503,1,0.08
5,0.11819768665541039,0.08037442692567906,left,0.4237745999125764,1,-0.32
6,0.07268658737522507,0.06105673339518906,left,0.33238210005220026,1,-0.16
7,0.13290426536719777,0.1435366065965736,left,0.5702353999949992,0,0.08
8,0.195238691244848,0.22647688184402365,right,0.36351459997240454,1,0.16
9,0.0565052412733382,0.03842356406586997,left,0.589269999996759,1,-0.32
10,0.18541020011170023,0.21507583212957226,right,0.37395449995528907,1,0.16
11,0.1258232205032971,0.08555978994224203,left,0.42138869990594685,1,-0.32
12,0.12884092024502664,0.15976274110383304,right,0.316736500011757,1,0.24
13,0.10599173191816387,0.07207437770435142,left,0.4265228998847306,1,-0.32
14,0.0887787683677459,0.11008567277600491,right,0.3816063000122085,1,0.24
15,0.1341854562242894,0.10198094673045995,left,0.35219400003552437,1,-0.24
16,0.16378455103476397,0.21619560736588844,right,0.32853240007534623,1,0.32
17,0.07256522893999538,0.07256522893999538,right,0.4921176000498235,0,0.0
18,0.11762897727361663,0.15527025000117395,right,0.5697555999504402,1,0.32
19,0.14705845492130315,0.12352910213389465,left,0.3523082999745384,1,-0.16
20,0.09344045766421258,0.08596522105107558,left,0.41847289993893355,1,-0.08
21,0.11050319170906026,0.13702395771923473,right,0.47310810000635684,1,0.24
22,0.15286430386300615,0.15286430386300615,left,0.4451507000485435,0,0.0
23,0.07904317448573997,0.07271972052688078,left,0.9307459999108687,1,-0.08
24,0.12507788791799568,0.12507788791799568,right,0.5168551000533625,0,0.0
25,0.16680444446928996,0.15346008891174678,left,0.5278351000742987,1,-0.08
26,0.15190095268632697,0.12759680025651465,left,0.4457416000077501,1,-0.16
27,0.07011618011141277,0.0532882968846737,left,0.5001035999739543,1,-0.24
28,0.1651759933981916,0.21803231128561293,right,0.4253945000236854,1,0.32
29,0.09802941725822309,0.11371412401953877,right,0.4974888999713585,1,0.16
30,0.10662809461811866,0.09809784704866917,left,0.4318306000204757,1,-0.08
31,0.18137096152068227,0.2394096692073006,right,0.3450253000482917,1,0.32
32,0.12872979483944086,0.09783464407797506,left,0.5036100000143051,1,-0.24
33,0.06885789606702641,0.057840632696302186,left,0.35544960002880543,1,-0.16
34,0.16712043174037286,0.20722933535806234,right,0.36694390000775456,1,0.24
35,0.08951307187484572,0.08951307187484572,left,0.5459989999653772,0,0.0
36,0.18499485928122417,0.19979444802372212,right,0.5995922000147402,1,0.08
