Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.4124035850050859,1.0,0.0
-0.24,0.4086408049915917,1.0,0.0
-0.16,0.44527446999854875,1.0,0.0
-0.08,0.5178470600130968,1.0,0.0
0.0,0.5038660800026264,0.0,0.4
0.08,0.5785278600087622,0.75,0.75
0.16,0.4475195000064559,0.95,0.95
0.24,0.43630213497963266,1.0,1.0
0.32,0.4084603499999503,0.95,0.95

Total Accuracy: 0.96
Total Mean Reaction Time: 0.46 seconds
