Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.1486796073393457,0.19625708168793635,j,0.3962052999995649,1,0.32
2,0.13255263683565016,0.0901357930482421,f,0.358042000036221,1,-0.32
3,0.17136985768721674,0.13024109184228472,f,0.3896425000275485,1,-0.24
4,0.14486402942338436,0.1564531517772551,j,0.35065059998305514,1,0.08
5,0.15381167363995465,0.16611660753115104,j,0.3979135000263341,1,0.08
6,0.198753485006756,0.13515236980459405,f,0.3432858000160195,1,-0.32
7,0.1888909168034137,0.14355709677059442,f,0.3538350000162609,1,-0.24
8,0.14379783235769855,0.1898131387121621,j,0.34280839998973534,1,0.32
9,0.13717010277927633,0.13717010277927633,j,0.33697860001120716,0,0.0
10,0.1233932111881171,0.1233932111881171,j,0.43622059997869655,0,0.0
11,0.14491698844218565,0.16810370659293533,j,0.35016460000770167,1,0.16
12,0.13693621864961766,0.09311662868174,f,0.39035310002509505,1,-0.32
13,0.15308482932927717,0.1898251883683037,j,0.4215682999929413,1,0.24
14,0.16254957221837096,0.20156146955078,j,0.37656750000314787,1,0.24
15,0.15680927016403753,0.15680927016403753,f,0.3433095999644138,0,0.0
16,0.10899452325501617,0.0828358376738123,f,0.3737932000076398,1,-0.24
17,0.1418274891055707,0.11913509084867938,f,0.29314780002459884,1,-0.16
18,0.17319932371197763,0.15934337781501942,f,0.39123120001750067,1,-0.08
19,0.10230488713802689,0.12685806005115335,j,0.3852985000121407,1,0.24
20,0.16384780733640197,0.17695563192331415,j,0.4439849000191316,1,0.08
21,0.15527819043406826,0.1055891694951664,f,0.3047525000292808,1,-0.32
22,0.1878669649654381,0.24798439375437828,j,0.3772113000159152,1,0.32
23,0.18830445045880073,0.20336880649550482,j,0.52464100002544,1,0.08
24,0.15940341845639489,0.15940341845639489,f,0.4102491000085138,0,0.0
25,0.106297702250796,0.12330533461092336,j,0.41415750002488494,1,0.16
26,0.1832780873720786,0.13929134640277974,f,0.34696119994623587,1,-0.24
27,0.16145618969437314,0.1485396945188233,f,0.5100590999936685,1,-0.08
28,0.15093790147887554,0.1388628693605655,f,0.3793689999729395,1,-0.08
29,0.15864759812679463,0.18403121382708176,j,0.3809359000297263,1,0.16
30,0.10922566362720436,0.09174955744685166,f,0.3728436999954283,1,-0.16
31,0.1536404713218159,0.14134923361607063,f,0.323947099968791,1,-0.08
32,0.11590160545008367,0.15299011919411046,j,0.3484164999681525,1,0.32
33,0.16993985986424037,0.1427494822859619,f,0.349227599974256,1,-0.16
34,0.14801582195380258,0.1835396192227152,j,0.34910549997584894,1,0.24
35,0.14322339743907922,0.1661391410293319,j,0.3467969000339508,1,0.16
36,0.13053776303617298,0.1096517209503853,f,0.36752579995663837,1,-0.16
