Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.11704412060502045,0.08895353165981554,f,0.3487713998183608,1,-0.24
2,0.11781820095724495,0.13666911311040414,f,0.23521519964560866,0,0.16
3,0.1664963786178112,0.1398569580389614,f,0.3331725997850299,1,-0.16
4,0.1985397997061837,0.18265661572968903,j,0.3385188998654485,0,-0.08
5,0.1981884881035011,0.2140435671517812,j,0.30529720010235906,1,0.08
6,0.1388401144988919,0.12773290533898055,f,0.36947540007531643,1,-0.08
7,0.10023725700142223,0.08419929588119467,f,0.4053365997970104,1,-0.16
8,0.1764013089797704,0.21873762313491532,j,0.27461740002036095,1,0.24
9,0.15413584561913413,0.11714324267054194,f,0.2896686000749469,1,-0.24
10,0.17548478502607961,0.20356235063025233,j,0.5200684000737965,1,0.16
11,0.1204359679456927,0.11080109051003728,f,0.3066218998283148,1,-0.08
12,0.10432991218031962,0.1377154840780219,j,0.30228540021926165,1,0.32
13,0.157859226192669,0.1452304880972555,f,0.26101640006527305,1,-0.08
14,0.17227110414428565,0.17227110414428565,f,0.2453417000360787,0,0.0
15,0.16120641708230388,0.16120641708230388,f,0.2728943000547588,0,0.0
16,0.1235852874648904,0.08403799547612546,f,0.25948690017685294,1,-0.32
17,0.11968152296483167,0.14840508847639128,j,0.2421496002934873,1,0.24
18,0.1575135952550114,0.10710924477340775,f,0.28028499986976385,1,-0.32
19,0.12342230605931682,0.14316987502880751,j,0.3273597997613251,1,0.16
20,0.14651940013131406,0.19340560817333458,j,0.2572508999146521,1,0.32
21,0.19728989912761577,0.19728989912761577,j,0.21106099989265203,0,0.0
22,0.14034258178315573,0.11788776869785081,f,0.19881389988586307,1,-0.16
23,0.12208188836038514,0.13184843942921595,j,0.2744784001260996,1,0.08
24,0.12316303541846756,0.1625752067523772,j,0.2692833999171853,1,0.32
25,0.11192069234152005,0.13878165850348487,j,0.18611889984458685,1,0.24
26,0.11897987742457411,0.12849826761854005,f,0.2677082000300288,0,0.08
27,0.17161143706226856,0.212798181957213,j,0.23846690030768514,1,0.24
28,0.1988402097619166,0.13521134263810328,f,0.2722032000310719,1,-0.32
29,0.11496330280571698,0.11496330280571698,j,0.29349439963698387,0,0.0
30,0.19784597682652888,0.13453526424203963,f,0.31333790021017194,1,-0.32
31,0.17097486390536326,0.1299408965680761,f,0.26486820029094815,1,-0.24
32,0.17488092204122135,0.20286186956781677,j,0.23652359982952476,1,0.16
33,0.1046642987465546,0.13815687434545207,j,0.207506800070405,1,0.32
34,0.17850866872919913,0.13566658823419134,f,0.28411459969356656,1,-0.24
35,0.10833055174739513,0.11699699588718675,j,0.346535200253129,1,0.08
36,0.11390998488230482,0.09568438730113604,j,0.24640530021861196,0,-0.16
