Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.3571170650015119,1.0,0.0
-0.24,0.3684519099915633,0.95,0.05
-0.16,0.37889763500716067,1.0,0.0
-0.08,0.38147146000119386,0.6,0.4
0.0,0.3906090250035049,0.0,0.45
0.08,0.407106930000009,0.5,0.5
0.16,0.39307774500339293,0.8,0.8
0.24,0.40195484000141735,0.8,0.8
0.32,0.38770746999944095,0.9,0.9

Total Accuracy: 0.82
Total Mean Reaction Time: 0.39 seconds
