Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.6523018049785365,0.9,0.0
-0.24,0.6195744618860247,0.9047619047619048,0.047619047619047616
-0.16,0.7183619147945486,1.0,0.0
-0.08,0.8721892599932006,0.72,0.24
0.0,1.0291156545496216,0.0,0.8636363636363636
0.08,0.7007558535555242,1.0,1.0
0.16,0.7674664533270718,1.0,1.0
0.24,0.7061338785453054,1.0,1.0
0.32,0.5934249249909985,1.0,1.0

Total Accuracy: 0.93
Total Mean Reaction Time: 0.75 seconds
