Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.5931502950000777,0.95,0.0
-0.24,0.6235051399999065,0.95,0.0
-0.16,0.6478153650001331,0.95,0.0
-0.08,0.9334123650000492,0.85,0.15
0.0,1.2614888199999315,0.0,0.4
0.08,0.8607126250000874,0.8,0.8
0.16,0.6737005999999838,0.95,0.95
0.24,0.5385583049999696,1.0,1.0
0.32,0.6111551399999826,0.95,0.95

Total Accuracy: 0.93
Total Mean Reaction Time: 0.75 seconds
