Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.5776759699889226,1.0,0.0
-0.24,0.576193135001813,1.0,0.0
-0.16,0.6070039100013673,0.95,0.05
-0.08,0.7882873750058934,0.9,0.1
0.0,0.9171128199988743,0.0,0.35
0.08,0.8265228750067763,0.9,0.9
0.16,0.6044404799962649,1.0,1.0
0.24,0.6710660599957918,1.0,1.0
0.32,0.5538870900025359,0.95,0.95

Total Accuracy: 0.96
Total Mean Reaction Time: 0.68 seconds
