Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.5199330111492118,0.980327868852459,0.022950819672131147
-0.24,0.5468165388112387,0.9667774086378738,0.019933554817275746
-0.16,0.6279275680816181,0.9381107491856677,0.05537459283387622
-0.08,0.7461543342226902,0.7311475409836066,0.25901639344262295
0.0,0.8371787788761001,0.0,0.5761589403973509
0.08,0.6597011625786231,0.8386075949367089,0.8386075949367089
0.16,0.5945668346577039,0.9498327759197325,0.9498327759197325
0.24,0.5534819955924695,0.9893617021276596,0.9893617021276596
0.32,0.5161909185250875,0.9858657243816255,0.9858657243816255

Total Accuracy: 0.92
Total Mean Reaction Time: 0.62 seconds
