Trial,Size_Left,Size_Right,Response,Reaction_Time,Correct,Ratio_r
1,0.09451763332610158,0.11720186532436595,j,0.4616640999993251,1,0.24
2,0.08624783763910743,0.058648529594593046,f,0.2774840999991284,1,-0.32
3,0.09868648032781105,0.10658139875403594,f,0.21283849999963422,0,0.08
4,0.08799238642480543,0.10911055916675874,j,0.2529276999994181,1,0.24
5,0.09222639838933273,0.10698262213162596,j,0.2735232000013639,1,0.16
6,0.06358436733833277,0.06358436733833277,j,0.2942686999995203,0,0.0
7,0.06362105112054021,0.07889010338946986,j,0.34543439999833936,1,0.24
8,0.06404513677692623,0.05379791489261804,f,0.2924310000016703,1,-0.16
9,0.08462607313493468,0.11170641653811379,j,0.28463840000040364,1,0.32
10,0.08952889631868768,0.0966912080241827,f,0.36267360000056215,0,0.08
11,0.09738840373374644,0.0740151868376473,f,0.28475999999864143,1,-0.24
12,0.053623790805135296,0.05791369406954612,j,0.28312240000013844,1,0.08
13,0.09806759904964607,0.12944923074553283,j,0.2445469000012963,1,0.32
14,0.08984433856587634,0.06828169731006602,f,0.29197519999797805,1,-0.24
15,0.06270069493107944,0.08276491730902485,j,0.2722702000028221,1,0.32
16,0.07775367136240559,0.09641455248938292,j,0.23879519999900367,1,0.24
17,0.0655960436467041,0.08133909412191308,j,0.23816789999909815,1,0.24
18,0.07795096710474221,0.0841870444731216,f,0.3056280000018887,0,0.08
19,0.0812301558209877,0.09422698075234573,j,0.24122759999954724,1,0.16
20,0.07386502731296857,0.09750183605311852,j,0.22239999999874271,1,0.32
21,0.08872843558777599,0.11002326012884223,j,0.2404041000008874,1,0.24
22,0.09310069355822947,0.10799680452754619,j,0.1931758999999147,1,0.16
23,0.08417099519410176,0.09763835442515803,j,0.25752379999903496,1,0.16
24,0.08680610181282916,0.1145840543929345,j,0.25729109999883804,1,0.32
25,0.07452402671099309,0.09837171525851088,j,0.29237060000014026,1,0.32
26,0.06297302093918229,0.06801086261431688,f,0.37621890000082203,0,0.08
27,0.08476216427863653,0.08476216427863653,j,0.23591549999764538,0,0.0
28,0.05423546486007255,0.04989662767126675,f,0.3052930000012566,1,-0.08
29,0.05673272422440943,0.06580996010031492,j,0.4448432999997749,1,0.16
30,0.08362268566599781,0.09700231537255746,j,0.2266353999984858,1,0.16
31,0.0554636305464199,0.05102654010270631,f,0.2968647999987297,1,-0.08
32,0.0731504299442553,0.0497422923620936,f,0.23867210000025807,1,-0.32
33,0.09258031255155738,0.09998673755568198,j,0.293357599999581,1,0.08
34,0.07876791156060178,0.06616504571090549,f,0.4386068999992858,1,-0.16
