Ratio_r,Mean_Reaction_Time,Accuracy,Probability_of_Choosing_Right
-0.32,0.3249170470956224,0.9883720930232558,0.011627906976744186
-0.24,0.33207695638981904,0.9651162790697675,0.03488372093023256
-0.16,0.3366633186059791,0.8895348837209303,0.11046511627906977
-0.08,0.35259642210084435,0.7732558139534884,0.22674418604651161
0.0,0.3436314069675613,0.0,0.4941860465116279
0.08,0.3436013563995677,0.7093023255813954,0.7093023255813954
0.16,0.336755820930574,0.9302325581395349,0.9302325581395349
0.24,0.31469668140088347,0.936046511627907,0.936046511627907
0.32,0.32339684187798745,0.9767441860465116,0.9767441860465116

Total Accuracy: 0.90
Total Mean Reaction Time: 0.33 seconds
